         99135894 function calls (88182537 primitive calls) in 70.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     15/1    0.000    0.000   70.505   70.505 {built-in method builtins.exec}
        1    0.000    0.000   70.505   70.505 main.py:1(<module>)
        1    0.478    0.478   70.489   70.489 test.py:22(run)
   500000    0.791    0.000   32.136    0.000 game.py:182(playMove)
   500000   31.030    0.000   31.030    0.000 game.py:462(calcScoreSlow)
   250000    0.706    0.000   26.972    0.000 clusterPlayer.py:24(actionMove)
   250000    0.547    0.000   25.554    0.000 friendlyNeighborPlayer.py:24(actionMove)
     5001    0.089    0.000   16.809    0.003 simulation.py:105(_saveGame)
     5011    2.456    0.000   15.899    0.003 __init__.py:120(dump)
  7032200    1.396    0.000   12.229    0.000 encoder.py:415(_iterencode)
7383248/7032200    1.462    0.000   10.828    0.000 encoder.py:334(_iterencode_dict)
17373578/6771458    7.167    0.000    9.299    0.000 encoder.py:278(_iterencode_list)
   495000    6.013    0.000    8.694    0.000 game.py:146(getPossibleMoves)
   247573    1.344    0.000    8.525    0.000 clusterPlayer.py:88(_maxClusterPos)
   247427    1.080    0.000    8.085    0.000 friendlyNeighborPlayer.py:82(_maxClusterPos)
   495001    0.669    0.000    3.916    0.000 random.py:128(seed)
 28453962    3.141    0.000    3.141    0.000 {method 'append' of 'list' objects}
   495001    3.047    0.000    3.047    0.000 {function Random.seed at 0x7f16278be700}
 15123866    1.826    0.000    1.826    0.000 {built-in method builtins.isinstance}
   497573    0.570    0.000    1.576    0.000 clusterPlayer.py:61(_updateClusters)
   495000    0.340    0.000    1.209    0.000 random.py:345(choice)
  7027189    1.132    0.000    1.175    0.000 {method 'write' of '_io.TextIOWrapper' objects}
  1990292    1.006    0.000    1.006    0.000 clusterPlayer.py:74(_updateLineCluster)
   250000    0.306    0.000    0.820    0.000 friendlyNeighborPlayer.py:55(_updateClusters)
   495000    0.360    0.000    0.729    0.000 random.py:245(_randbelow_with_getrandbits)
  1000000    0.514    0.000    0.514    0.000 friendlyNeighborPlayer.py:68(_updateLineCluster)
     5015    0.433    0.000    0.435    0.000 {built-in method _io.open}
     5011    0.383    0.000    0.383    0.000 {method 'truncate' of '_io.TextIOWrapper' objects}
   515103    0.335    0.000    0.335    0.000 encoder.py:224(floatstr)
        5    0.000    0.000    0.332    0.066 simulation.py:192(_savePlayerStats)
   948138    0.292    0.000    0.292    0.000 {method 'getrandbits' of '_random.Random' objects}
  1020003    0.230    0.000    0.230    0.000 game.py:274(gameOver)
     5001    0.027    0.000    0.202    0.000 <frozen os>:203(makedirs)
  1575366    0.199    0.000    0.199    0.000 {built-in method builtins.id}
     5000    0.061    0.000    0.158    0.000 game.py:38(__init__)
995466/995436    0.140    0.000    0.140    0.000 {built-in method builtins.len}
   500000    0.102    0.000    0.102    0.000 game.py:229(isLegal)
   495000    0.078    0.000    0.078    0.000 {method 'bit_length' of 'int' objects}
     5000    0.076    0.000    0.076    0.000 {method 'strftime' of 'datetime.date' objects}
    10086    0.069    0.000    0.069    0.000 {built-in method posix.stat}
     5005    0.007    0.000    0.064    0.000 <frozen genericpath>:16(exists)
     5001    0.058    0.000    0.058    0.000 {built-in method posix.mkdir}
    10002    0.041    0.000    0.056    0.000 simulation.py:155(_updatePlayerStats)
   500000    0.052    0.000    0.052    0.000 game.py:178(getIsNewGame)
   500000    0.049    0.000    0.049    0.000 game.py:136(getCurrentPlayer)
   500000    0.046    0.000    0.046    0.000 test.py:85(_runTest)
   220303    0.044    0.000    0.044    0.000 {built-in method _json.encode_basestring_ascii}
   130820    0.033    0.000    0.044    0.000 <frozen codecs>:330(reset)
     5031    0.041    0.000    0.041    0.000 {method '__exit__' of '_io._IOBase' objects}
     5011    0.030    0.000    0.038    0.000 encoder.py:205(iterencode)
    10000    0.033    0.000    0.033    0.000 player.py:54(setGame)
     5001    0.020    0.000    0.033    0.000 <frozen posixpath>:100(split)
   252574    0.029    0.000    0.029    0.000 game.py:117(getMoveHistory)
     5011    0.027    0.000    0.028    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     5000    0.020    0.000    0.020    0.000 {built-in method now}
     5001    0.006    0.000    0.020    0.000 <frozen genericpath>:48(isdir)
    15003    0.005    0.000    0.011    0.000 game.py:98(getWinner)
     20/5    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
   130820    0.010    0.000    0.010    0.000 <frozen codecs>:279(reset)
     20/5    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     20/5    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
     14/5    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap_external>:1020(exec_module)
    42/10    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.009    0.009 simulation.py:1(<module>)
     5011    0.008    0.000    0.008    0.000 encoder.py:263(_make_iterencode)
       14    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        4    0.000    0.000    0.005    0.001 player.py:16(__init__)
        4    0.000    0.000    0.005    0.001 player.py:26(initStats)
        4    0.000    0.000    0.004    0.001 __init__.py:274(load)
     5001    0.002    0.000    0.004    0.000 <frozen posixpath>:42(_get_sep)
    10002    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     5030    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.003    0.001 __init__.py:299(loads)
        4    0.000    0.000    0.003    0.001 decoder.py:340(decode)
        4    0.003    0.001    0.003    0.001 decoder.py:351(raw_decode)
     5001    0.003    0.000    0.003    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1085(source_to_code)
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
    10044    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 player.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:1(<module>)
     5423    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    20004    0.002    0.000    0.002    0.000 game.py:80(getId)
     5015    0.002    0.000    0.002    0.000 <frozen codecs>:189(__init__)
        1    0.000    0.000    0.002    0.002 friendlyNeighborPlayer.py:11(__init__)
     5043    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
     5000    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     5003    0.002    0.000    0.002    0.000 game.py:108(getInit)
        1    0.000    0.000    0.001    0.001 randomPlayer.py:6(__init__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.001    0.001 clusterPlayer.py:11(__init__)
     5000    0.001    0.000    0.001    0.000 game.py:175(setRecordStats)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        7    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        7    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
