         103980918 function calls (93127561 primitive calls) in 43.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     15/1    0.000    0.000   43.476   43.476 {built-in method builtins.exec}
        1    0.000    0.000   43.476   43.476 main.py:1(<module>)
        1    0.469    0.469   43.465   43.465 test.py:22(run)
     5001    0.077    0.000   16.717    0.003 simulation.py:105(_saveGame)
     5011    2.520    0.001   15.915    0.003 __init__.py:120(dump)
   250000    0.700    0.000   13.768    0.000 clusterPlayer.py:24(actionMove)
  6982200    1.406    0.000   12.209    0.000 encoder.py:415(_iterencode)
   250000    0.528    0.000   11.996    0.000 friendlyNeighborPlayer.py:24(actionMove)
7233248/6982200    1.413    0.000   10.798    0.000 encoder.py:334(_iterencode_dict)
17323578/6721458    7.150    0.000    9.322    0.000 encoder.py:278(_iterencode_list)
   495000    5.907    0.000    8.520    0.000 game.py:146(getPossibleMoves)
   247427    1.274    0.000    8.337    0.000 clusterPlayer.py:88(_maxClusterPos)
   247573    1.016    0.000    7.912    0.000 friendlyNeighborPlayer.py:82(_maxClusterPos)
   500000    0.697    0.000    5.837    0.000 game.py:182(playMove)
   500000    0.656    0.000    4.839    0.000 game.py:309(_calcScore)
  2000000    2.672    0.000    4.183    0.000 game.py:338(_lineCheck)
   495001    0.655    0.000    3.866    0.000 random.py:128(seed)
 28492762    3.077    0.000    3.077    0.000 {method 'append' of 'list' objects}
   495001    3.023    0.000    3.023    0.000 {function Random.seed at 0x7f8eb422e700}
 15073866    1.876    0.000    1.876    0.000 {built-in method builtins.isinstance}
   497427    0.542    0.000    1.536    0.000 clusterPlayer.py:61(_updateClusters)
  1345224    0.692    0.000    1.511    0.000 game.py:423(__checkIfNeighbor)
   495000    0.336    0.000    1.203    0.000 random.py:345(choice)
  6977189    1.128    0.000    1.154    0.000 {method 'write' of '_io.TextIOWrapper' objects}
  1989708    0.994    0.000    0.994    0.000 clusterPlayer.py:74(_updateLineCluster)
  1952572    0.819    0.000    0.819    0.000 game.py:434(__checkSuperset)
   250000    0.283    0.000    0.784    0.000 friendlyNeighborPlayer.py:55(_updateClusters)
   495000    0.366    0.000    0.738    0.000 random.py:245(_randbelow_with_getrandbits)
  1000000    0.501    0.000    0.501    0.000 friendlyNeighborPlayer.py:68(_updateLineCluster)
     5015    0.341    0.000    0.343    0.000 {built-in method _io.open}
   515103    0.325    0.000    0.325    0.000 encoder.py:224(floatstr)
     5011    0.302    0.000    0.302    0.000 {method 'truncate' of '_io.TextIOWrapper' objects}
   957406    0.293    0.000    0.293    0.000 {method 'getrandbits' of '_random.Random' objects}
  1020003    0.216    0.000    0.216    0.000 game.py:273(gameOver)
        5    0.000    0.000    0.203    0.041 simulation.py:192(_savePlayerStats)
  1575367    0.192    0.000    0.192    0.000 {built-in method builtins.id}
     5001    0.023    0.000    0.168    0.000 <frozen os>:203(makedirs)
     5000    0.054    0.000    0.135    0.000 game.py:38(__init__)
995467/995437    0.130    0.000    0.130    0.000 {built-in method builtins.len}
   500000    0.095    0.000    0.095    0.000 game.py:228(isLegal)
   495000    0.079    0.000    0.079    0.000 {method 'bit_length' of 'int' objects}
     5000    0.064    0.000    0.064    0.000 {method 'strftime' of 'datetime.date' objects}
    10088    0.056    0.000    0.056    0.000 {built-in method posix.stat}
   500000    0.054    0.000    0.054    0.000 game.py:136(getCurrentPlayer)
    10002    0.037    0.000    0.051    0.000 simulation.py:155(_updatePlayerStats)
     5005    0.006    0.000    0.051    0.000 <frozen genericpath>:16(exists)
   500000    0.048    0.000    0.048    0.000 game.py:178(getIsNewGame)
     5001    0.048    0.000    0.048    0.000 {built-in method posix.mkdir}
   500000    0.046    0.000    0.046    0.000 test.py:85(_runTest)
     5033    0.034    0.000    0.034    0.000 {method '__exit__' of '_io._IOBase' objects}
   170303    0.033    0.000    0.033    0.000 {built-in method _json.encode_basestring_ascii}
     5011    0.025    0.000    0.033    0.000 encoder.py:205(iterencode)
    10000    0.028    0.000    0.028    0.000 player.py:54(setGame)
     5001    0.017    0.000    0.028    0.000 <frozen posixpath>:100(split)
   252428    0.027    0.000    0.027    0.000 game.py:117(getMoveHistory)
    80820    0.020    0.000    0.027    0.000 <frozen codecs>:330(reset)
     5011    0.022    0.000    0.023    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     5001    0.005    0.000    0.018    0.000 <frozen genericpath>:48(isdir)
     5000    0.017    0.000    0.017    0.000 {built-in method now}
    15003    0.005    0.000    0.011    0.000 game.py:98(getWinner)
     20/5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
     20/5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     5011    0.007    0.000    0.007    0.000 encoder.py:263(_make_iterencode)
     20/5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
     14/5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1020(exec_module)
    43/11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    80820    0.006    0.000    0.006    0.000 <frozen codecs>:279(reset)
        1    0.000    0.000    0.006    0.006 simulation.py:1(<module>)
     5001    0.002    0.000    0.004    0.000 <frozen posixpath>:42(_get_sep)
    10002    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.003    0.003 player.py:1(<module>)
     5031    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.003    0.001 player.py:16(__init__)
        4    0.000    0.000    0.003    0.001 player.py:26(initStats)
        4    0.000    0.000    0.003    0.001 __init__.py:274(load)
    10044    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:1(<module>)
    20004    0.002    0.000    0.002    0.000 game.py:80(getId)
     5001    0.002    0.000    0.002    0.000 {built-in method _stat.S_ISDIR}
     5423    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.002    0.000 __init__.py:299(loads)
        4    0.000    0.000    0.002    0.000 decoder.py:340(decode)
     5043    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
        4    0.002    0.000    0.002    0.000 decoder.py:351(raw_decode)
     5015    0.002    0.000    0.002    0.000 <frozen codecs>:189(__init__)
     5000    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     5003    0.001    0.000    0.001    0.000 game.py:108(getInit)
        1    0.000    0.000    0.001    0.001 randomPlayer.py:6(__init__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5000    0.001    0.000    0.001    0.000 game.py:175(setRecordStats)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 friendlyNeighborPlayer.py:11(__init__)
        7    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        7    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
        2    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
     5000    0.001    0.000    0.001    0.000 friendlyNeighborPlayer.py:21(setSeed)
     5000    0.001    0.000    0.001    0.000 clusterPlayer.py:21(setSeed)
        7    0.000    0.000    0.001    0.000 _compiler.py:743(compile)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1085(source_to_code)
        2    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     5011    0.001    0.000    0.001    0.000 <frozen codecs>:206(reset)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     5000    0.001    0.000    0.001    0.000 game.py:169(setRecordGames)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     5000    0.001    0.000    0.001    0.000 game.py:163(setIgnoreMirrorMatch)
       12    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     5001    0.001    0.000    0.001    0.000 game.py:126(getPlayerScores)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        7    0.000    0.000    0.001    0.000 _parser.py:970(parse)
        4    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     14/7    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
     16/7    0.000    0.000    0.001    0.000 _parser.py:511(_parse)
     5001    0.001    0.000    0.001    0.000 game.py:88(getBoard)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1238(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1243(set_data)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _compiler.py:576(_code)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 game.py:1(<module>)
     27/7    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
        4    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       16    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.000    0.000 clusterPlayer.py:11(__init__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       15    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        7    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
