         387017431 function calls (319617259 primitive calls) in 154.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/1    0.000    0.000  154.557  154.557 {built-in method builtins.exec}
        1    0.000    0.000  154.557  154.557 main.py:1(<module>)
        1    0.442    0.442  154.550  154.550 main.py:40(run)
     5000    0.759    0.000  103.172    0.021 game.py:355(save)
    15000   12.966    0.001   94.562    0.006 __init__.py:120(dump)
    10000    0.232    0.000   83.362    0.008 game.py:394(__recordPlayerStats)
 35555000    7.267    0.000   57.029    0.000 encoder.py:415(_iterencode)
92355000/35555000   19.562    0.000   49.736    0.000 encoder.py:334(_iterencode_dict)
   500000    0.810    0.000   34.479    0.000 game.py:178(playMove)
   505000   33.904    0.000   33.904    0.000 game.py:286(__calcScore)
45335000/34735000   19.373    0.000   29.970    0.000 encoder.py:278(_iterencode_list)
   250000    0.591    0.000   25.665    0.000 friendlyNeighborPlayer.py:17(actionMove)
   250000    1.398    0.000   24.760    0.000 randomPlayer.py:11(actionMove)
 35540000   14.425    0.000   24.399    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 28655000    7.580    0.000    9.986    0.000 <frozen codecs>:330(reset)
   247531    1.382    0.000    6.806    0.000 friendlyNeighborPlayer.py:75(_maxClusterPos)
  2596916    0.823    0.000    5.726    0.000 random.py:336(randint)
 28315000    5.543    0.000    5.543    0.000 {built-in method _json.encode_basestring_ascii}
  2596916    1.985    0.000    4.904    0.000 random.py:295(randrange)
 42625286    4.701    0.000    4.701    0.000 {built-in method builtins.isinstance}
   247531    3.172    0.000    4.588    0.000 game.py:145(getPossibleMoves)
    10000    0.207    0.000    3.532    0.000 __init__.py:274(load)
    10000    0.036    0.000    2.523    0.000 __init__.py:299(loads)
  2844447    1.640    0.000    2.483    0.000 random.py:245(_randbelow_with_getrandbits)
    10000    0.050    0.000    2.477    0.000 decoder.py:340(decode)
 28655000    2.406    0.000    2.406    0.000 <frozen codecs>:279(reset)
    10000    2.365    0.000    2.365    0.000 decoder.py:351(raw_decode)
 15328269    1.817    0.000    1.817    0.000 {method 'append' of 'list' objects}
    15000    1.332    0.000    1.332    0.000 {method 'truncate' of '_io.TextIOWrapper' objects}
    15000    1.169    0.000    1.198    0.000 {built-in method _io.open}
   250000    0.342    0.000    0.971    0.000 friendlyNeighborPlayer.py:48(_updateClusters)
    10000    0.413    0.000    0.801    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  7790748    0.720    0.000    0.720    0.000 {built-in method _operator.index}
     5000    0.006    0.000    0.655    0.000 game.py:130(getPlayerScores)
  1000000    0.629    0.000    0.629    0.000 friendlyNeighborPlayer.py:61(_updateLineCluster)
   247531    0.190    0.000    0.550    0.000 random.py:345(choice)
  4650660    0.473    0.000    0.473    0.000 {method 'getrandbits' of '_random.Random' objects}
  1015000    0.403    0.000    0.403    0.000 game.py:259(gameOver)
    10000    0.033    0.000    0.389    0.000 <frozen codecs>:322(decode)
  2844447    0.369    0.000    0.369    0.000 {method 'bit_length' of 'int' objects}
    10000    0.356    0.000    0.356    0.000 {built-in method _codecs.utf_8_decode}
   515000    0.352    0.000    0.352    0.000 encoder.py:224(floatstr)
  1798458    0.287    0.000    0.287    0.000 game.py:219(isLegal)
     5000    0.038    0.000    0.276    0.000 <frozen os>:203(makedirs)
     5000    0.101    0.000    0.255    0.000 game.py:40(__init__)
    15000    0.028    0.000    0.247    0.000 <frozen genericpath>:16(exists)
    20072    0.232    0.000    0.232    0.000 {built-in method posix.stat}
  1615000    0.225    0.000    0.225    0.000 {built-in method builtins.id}
    15012    0.210    0.000    0.210    0.000 {method '__exit__' of '_io._IOBase' objects}
  1303459    0.198    0.000    0.198    0.000 game.py:113(getInit)
    15000    0.134    0.000    0.169    0.000 encoder.py:205(iterencode)
    15000    0.126    0.000    0.141    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     5000    0.121    0.000    0.121    0.000 {method 'strftime' of 'datetime.date' objects}
     5000    0.087    0.000    0.087    0.000 {built-in method posix.mkdir}
510508/510478    0.086    0.000    0.086    0.000 {built-in method builtins.len}
    10000    0.069    0.000    0.069    0.000 player.py:34(setGame)
     5000    0.038    0.000    0.065    0.000 <frozen posixpath>:100(split)
    20000    0.048    0.000    0.048    0.000 {method 'match' of 're.Pattern' objects}
    35004    0.036    0.000    0.036    0.000 {method 'split' of 'str' objects}
    15000    0.035    0.000    0.035    0.000 encoder.py:263(_make_iterencode)
     5000    0.033    0.000    0.033    0.000 {built-in method now}
   250000    0.029    0.000    0.029    0.000 game.py:137(getCurrentPlayer)
   250000    0.027    0.000    0.027    0.000 game.py:174(getIsNewGame)
     5000    0.007    0.000    0.024    0.000 <frozen genericpath>:48(isdir)
    10000    0.020    0.000    0.024    0.000 <frozen codecs>:312(__init__)
    35000    0.022    0.000    0.022    0.000 {method 'removesuffix' of 'str' objects}
    40007    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
     5000    0.005    0.000    0.014    0.000 game.py:103(getWinner)
     5000    0.006    0.000    0.012    0.000 <frozen posixpath>:42(_get_sep)
    10000    0.009    0.000    0.009    0.000 {method 'keys' of 'dict' objects}
    20000    0.008    0.000    0.008    0.000 {method 'end' of 're.Match' objects}
     18/5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
     18/5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    10000    0.006    0.000    0.006    0.000 player.py:22(getClassPath)
    15000    0.006    0.000    0.006    0.000 <frozen codecs>:189(__init__)
    10018    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     18/6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
     12/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1020(exec_module)
    37/11    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     5390    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     5024    0.004    0.000    0.004    0.000 {method 'rfind' of 'str' objects}
     5000    0.004    0.000    0.004    0.000 {built-in method _stat.S_ISDIR}
